Federal Information Processing Standards (FIPS) Code,State,Area name,Population 2010
18081,IN,Johnson County,"139,654"
18083,IN,Knox County,"38,440"
18085,IN,Kosciusko County,"77,358"
18087,IN,LaGrange County,"37,128"
18089,IN,Lake County,"496,005"
18091,IN,LaPorte County,"111,467"
18093,IN,Lawrence County,"46,134"
18095,IN,Madison County,"131,636"
18097,IN,Marion County,"903,393"
18099,IN,Marshall County,"47,051"
18101,IN,Martin County,"10,334"
18103,IN,Miami County,"36,903"
18105,IN,Monroe County,"137,974"
18107,IN,Montgomery County,"38,124"
18109,IN,Morgan County,"68,894"
18111,IN,Newton County,"14,244"
18113,IN,Noble County,"47,536"
18115,IN,Ohio County,"6,128"
18117,IN,Orange County,"19,840"
18119,IN,Owen County,"21,575"
18121,IN,Parke County,"17,339"
18123,IN,Perry County,"19,338"
18125,IN,Pike County,"12,845"
18127,IN,Porter County,"164,343"
18129,IN,Posey County,"25,910"
18131,IN,Pulaski County,"13,402"
18133,IN,Putnam County,"37,963"
18135,IN,Randolph County,"26,171"
18137,IN,Ripley County,"28,818"
18139,IN,Rush County,"17,392"
18141,IN,St. Joseph County,"266,931"
18143,IN,Scott County,"24,181"
18145,IN,Shelby County,"44,436"
18147,IN,Spencer County,"20,952"
18149,IN,Starke County,"23,363"
18151,IN,Steuben County,"34,185"
18153,IN,Sullivan County,"21,475"
18155,IN,Switzerland County,"10,613"
18157,IN,Tippecanoe County,"172,780"
18159,IN,Tipton County,"15,936"
18161,IN,Union County,"7,516"
18163,IN,Vanderburgh County,"179,703"
18165,IN,Vermillion County,"16,212"
18167,IN,Vigo County,"107,848"
18169,IN,Wabash County,"32,888"
18171,IN,Warren County,"8,508"
18173,IN,Warrick County,"59,689"
18175,IN,Washington County,"28,262"
18177,IN,Wayne County,"68,917"
18179,IN,Wells County,"27,636"
18181,IN,White County,"24,643"
18183,IN,Whitley County,"33,292"
19000,IA,Iowa,"3,046,355"
19001,IA,Adair County,"7,682"
19003,IA,Adams County,"4,029"
19005,IA,Allamakee County,"14,330"
19007,IA,Appanoose County,"12,887"
19009,IA,Audubon County,"6,119"
19011,IA,Benton County,"26,076"
19013,IA,Black Hawk County,"131,090"
19015,IA,Boone County,"26,306"
19017,IA,Bremer County,"24,276"
19019,IA,Buchanan County,"20,958"
19021,IA,Buena Vista County,"20,260"
19023,IA,Butler County,"14,867"
19025,IA,Calhoun County,"9,670"
19027,IA,Carroll County,"20,816"
19029,IA,Cass County,"13,956"
19031,IA,Cedar County,"18,499"
19033,IA,Cerro Gordo County,"44,151"
19035,IA,Cherokee County,"12,072"
19037,IA,Chickasaw County,"12,439"
19039,IA,Clarke County,"9,286"
19041,IA,Clay County,"16,667"
19043,IA,Clayton County,"18,129"
19045,IA,Clinton County,"49,116"
19047,IA,Crawford County,"17,096"
19049,IA,Dallas County,"66,135"
19051,IA,Davis County,"8,753"
19053,IA,Decatur County,"8,457"
19055,IA,Delaware County,"17,764"
19057,IA,Des Moines County,"40,325"
19059,IA,Dickinson County,"16,667"
19061,IA,Dubuque County,"93,653"
19063,IA,Emmet County,"10,302"
19065,IA,Fayette County,"20,880"
19067,IA,Floyd County,"16,303"
19069,IA,Franklin County,"10,680"
19071,IA,Fremont County,"7,441"
19073,IA,Greene County,"9,336"
19075,IA,Grundy County,"12,453"
19077,IA,Guthrie County,"10,954"
19079,IA,Hamilton County,"15,673"
19081,IA,Hancock County,"11,341"
19083,IA,Hardin County,"17,534"
19085,IA,Harrison County,"14,928"
19087,IA,Henry County,"20,145"
19089,IA,Howard County,"9,566"
19091,IA,Humboldt County,"9,815"
19093,IA,Ida County,"7,089"
19095,IA,Iowa County,"16,355"
19097,IA,Jackson County,"19,848"
19099,IA,Jasper County,"36,842"
19101,IA,Jefferson County,"16,843"
19103,IA,Johnson County,"130,882"
19105,IA,Jones County,"20,638"
19107,IA,Keokuk County,"10,511"
19109,IA,Kossuth County,"15,543"
19111,IA,Lee County,"35,862"
19113,IA,Linn County,"211,226"
19115,IA,Louisa County,"11,387"
19117,IA,Lucas County,"8,898"
19119,IA,Lyon County,"11,581"
19121,IA,Madison County,"15,679"
19123,IA,Mahaska County,"22,381"
19125,IA,Marion County,"33,309"
19127,IA,Marshall County,"40,648"
19129,IA,Mills County,"15,059"
19131,IA,Mitchell County,"10,776"
19133,IA,Monona County,"9,243"
19135,IA,Monroe County,"7,970"
19137,IA,Montgomery County,"10,740"
19139,IA,Muscatine County,"42,745"
19141,IA,O'Brien County,"14,398"
19143,IA,Osceola County,"6,462"
19145,IA,Page County,"15,932"
19147,IA,Palo Alto County,"9,421"
19149,IA,Plymouth County,"24,986"
19151,IA,Pocahontas County,"7,310"
19153,IA,Polk County,"430,640"
19155,IA,Pottawattamie County,"93,158"
19157,IA,Poweshiek County,"18,914"
19159,IA,Ringgold County,"5,131"
19161,IA,Sac County,"10,350"
19163,IA,Scott County,"165,224"
19165,IA,Shelby County,"12,167"
19167,IA,Sioux County,"33,704"
19169,IA,Story County,"89,542"
19171,IA,Tama County,"17,767"
19173,IA,Taylor County,"6,317"
19175,IA,Union County,"12,534"
19177,IA,Van Buren County,"7,570"
19179,IA,Wapello County,"35,625"
19181,IA,Warren County,"46,225"
19183,IA,Washington County,"21,704"
19185,IA,Wayne County,"6,403"
19187,IA,Webster County,"38,013"
19189,IA,Winnebago County,"10,866"
19191,IA,Winneshiek County,"21,056"
19193,IA,Woodbury County,"102,172"
19195,IA,Worth County,"7,598"
19197,IA,Wright County,"13,229"
20000,KS,Kansas,"2,853,118"
20001,KS,Allen County,"13,371"
20003,KS,Anderson County,"8,102"
20005,KS,Atchison County,"16,924"
20007,KS,Barber County,"4,861"
20009,KS,Barton County,"27,674"
20011,KS,Bourbon County,"15,173"
20013,KS,Brown County,"9,984"
20015,KS,Butler County,"65,880"
20017,KS,Chase County,"2,790"
20019,KS,Chautauqua County,"3,669"
20021,KS,Cherokee County,"21,603"
20023,KS,Cheyenne County,"2,726"
20025,KS,Clark County,"2,215"
20027,KS,Clay County,"8,535"
20029,KS,Cloud County,"9,533"
20031,KS,Coffey County,"8,601"
20033,KS,Comanche County,"1,891"
20035,KS,Cowley County,"36,311"
20037,KS,Crawford County,"39,134"
20039,KS,Decatur County,"2,961"
20041,KS,Dickinson County,"19,754"
20043,KS,Doniphan County,"7,945"
20045,KS,Douglas County,"110,826"
20047,KS,Edwards County,"3,037"
20049,KS,Elk County,"2,882"
20051,KS,Ellis County,"28,452"
20053,KS,Ellsworth County,"6,497"
20055,KS,Finney County,"36,776"
20057,KS,Ford County,"33,848"
20059,KS,Franklin County,"25,992"
20061,KS,Geary County,"34,362"
20063,KS,Gove County,"2,695"
20065,KS,Graham County,"2,597"
20067,KS,Grant County,"7,829"
20069,KS,Gray County,"6,006"
20071,KS,Greeley County,"1,247"
20073,KS,Greenwood County,"6,689"
20075,KS,Hamilton County,"2,690"
20077,KS,Harper County,"6,034"
20079,KS,Harvey County,"34,684"
20081,KS,Haskell County,"4,256"
20083,KS,Hodgeman County,"1,916"
20085,KS,Jackson County,"13,462"
20087,KS,Jefferson County,"19,126"
20089,KS,Jewell County,"3,077"
20091,KS,Johnson County,"544,179"
20093,KS,Kearny County,"3,977"
20095,KS,Kingman County,"7,858"
20097,KS,Kiowa County,"2,553"
20099,KS,Labette County,"21,607"
20101,KS,Lane County,"1,750"
20103,KS,Leavenworth County,"76,227"
20105,KS,Lincoln County,"3,241"
20107,KS,Linn County,"9,656"
20109,KS,Logan County,"2,756"
20111,KS,Lyon County,"33,690"
20113,KS,McPherson County,"29,180"
20115,KS,Marion County,"12,660"
20117,KS,Marshall County,"10,117"
20119,KS,Meade County,"4,575"
20121,KS,Miami County,"32,787"
20123,KS,Mitchell County,"6,373"
20125,KS,Montgomery County,"35,471"
20127,KS,Morris County,"5,923"
20129,KS,Morton County,"3,233"
20131,KS,Nemaha County,"10,178"
20133,KS,Neosho County,"16,512"
20135,KS,Ness County,"3,107"
20137,KS,Norton County,"5,671"
20139,KS,Osage County,"16,295"
20141,KS,Osborne County,"3,858"
20143,KS,Ottawa County,"6,091"
20145,KS,Pawnee County,"6,973"
20147,KS,Phillips County,"5,642"
20149,KS,Pottawatomie County,"21,604"
20151,KS,Pratt County,"9,656"
20153,KS,Rawlins County,"2,519"
20155,KS,Reno County,"64,511"
20157,KS,Republic County,"4,980"
20159,KS,Rice County,"10,083"
20161,KS,Riley County,"71,115"
20163,KS,Rooks County,"5,181"
20165,KS,Rush County,"3,307"
20167,KS,Russell County,"6,970"
20169,KS,Saline County,"55,606"
20171,KS,Scott County,"4,936"
20173,KS,Sedgwick County,"498,365"
20175,KS,Seward County,"22,952"
20177,KS,Shawnee County,"177,934"
20179,KS,Sheridan County,"2,556"
20181,KS,Sherman County,"6,010"
20183,KS,Smith County,"3,853"
20185,KS,Stafford County,"4,437"
20187,KS,Stanton County,"2,235"
20189,KS,Stevens County,"5,724"
20191,KS,Sumner County,"24,132"
20193,KS,Thomas County,"7,900"
20195,KS,Trego County,"3,001"
20197,KS,Wabaunsee County,"7,053"
20199,KS,Wallace County,"1,485"
20201,KS,Washington County,"5,799"
20203,KS,Wichita County,"2,234"
20205,KS,Wilson County,"9,409"
20207,KS,Woodson County,"3,309"
20209,KS,Wyandotte County,"157,505"
21000,KY,Kentucky,"4,339,367"
21001,KY,Adair County,"18,656"
21003,KY,Allen County,"19,956"
21005,KY,Anderson County,"21,421"
21007,KY,Ballard County,"8,249"
21009,KY,Barren County,"42,173"
21011,KY,Bath County,"11,591"
21013,KY,Bell County,"28,691"
21015,KY,Boone County,"118,811"
21017,KY,Bourbon County,"19,985"
21019,KY,Boyd County,"49,542"
21021,KY,Boyle County,"28,432"
21023,KY,Bracken County,"8,488"
21025,KY,Breathitt County,"13,878"
21027,KY,Breckinridge County,"20,059"
21029,KY,Bullitt County,"74,319"
21031,KY,Butler County,"12,690"
21033,KY,Caldwell County,"12,984"
21035,KY,Calloway County,"37,191"
21037,KY,Campbell County,"90,336"
21039,KY,Carlisle County,"5,104"
21041,KY,Carroll County,"10,811"
21043,KY,Carter County,"27,720"
21045,KY,Casey County,"15,955"
21047,KY,Christian County,"73,955"
21049,KY,Clark County,"35,613"
21051,KY,Clay County,"21,730"
21053,KY,Clinton County,"10,272"
21055,KY,Crittenden County,"9,315"
21057,KY,Cumberland County,"6,856"
21059,KY,Daviess County,"96,656"
21061,KY,Edmonson County,"12,161"
21063,KY,Elliott County,"7,852"
21065,KY,Estill County,"14,672"
21067,KY,Fayette County,"295,803"
21069,KY,Fleming County,"14,348"
21071,KY,Floyd County,"39,451"
21073,KY,Franklin County,"49,285"
21075,KY,Fulton County,"6,813"
21077,KY,Gallatin County,"8,589"
21079,KY,Garrard County,"16,912"
21081,KY,Grant County,"24,662"
21083,KY,Graves County,"37,121"
21085,KY,Grayson County,"25,746"
21087,KY,Green County,"11,258"
21089,KY,Greenup County,"36,910"
21091,KY,Hancock County,"8,565"
21093,KY,Hardin County,"105,543"
21095,KY,Harlan County,"29,278"
21097,KY,Harrison County,"18,846"
21099,KY,Hart County,"18,199"
21101,KY,Henderson County,"46,250"
21103,KY,Henry County,"15,416"
21105,KY,Hickman County,"4,902"
21107,KY,Hopkins County,"46,920"
21109,KY,Jackson County,"13,494"
21111,KY,Jefferson County,"741,096"
21113,KY,Jessamine County,"48,586"
21115,KY,Johnson County,"23,356"
21117,KY,Kenton County,"159,720"
21119,KY,Knott County,"16,346"
21121,KY,Knox County,"31,883"
21123,KY,Larue County,"14,193"
21125,KY,Laurel County,"58,849"
21127,KY,Lawrence County,"15,860"
21129,KY,Lee County,"7,887"
21131,KY,Leslie County,"11,310"
21133,KY,Letcher County,"24,519"
21135,KY,Lewis County,"13,870"
21137,KY,Lincoln County,"24,742"
21139,KY,Livingston County,"9,519"
21141,KY,Logan County,"26,835"
21143,KY,Lyon County,"8,314"
21145,KY,McCracken County,"65,565"
21147,KY,McCreary County,"18,306"
21149,KY,McLean County,"9,531"
21151,KY,Madison County,"82,916"
21153,KY,Magoffin County,"13,333"
21155,KY,Marion County,"19,820"
21157,KY,Marshall County,"31,448"
21159,KY,Martin County,"12,929"
21161,KY,Mason County,"17,490"
21163,KY,Meade County,"28,602"
21165,KY,Menifee County,"6,306"
21167,KY,Mercer County,"21,331"
21169,KY,Metcalfe County,"10,099"
21171,KY,Monroe County,"10,963"
21173,KY,Montgomery County,"26,499"
21175,KY,Morgan County,"13,923"
21177,KY,Muhlenberg County,"31,499"
21179,KY,Nelson County,"43,437"
21181,KY,Nicholas County,"7,135"
21183,KY,Ohio County,"23,842"
21185,KY,Oldham County,"60,316"
21187,KY,Owen County,"10,841"
21189,KY,Owsley County,"4,755"
21191,KY,Pendleton County,"14,877"
21193,KY,Perry County,"28,712"
21195,KY,Pike County,"65,024"
21197,KY,Powell County,"12,613"
21199,KY,Pulaski County,"63,063"
21201,KY,Robertson County,"2,282"
21203,KY,Rockcastle County,"17,056"
21205,KY,Rowan County,"23,333"
21207,KY,Russell County,"17,565"
21209,KY,Scott County,"47,173"
21211,KY,Shelby County,"42,074"
21213,KY,Simpson County,"17,327"
21215,KY,Spencer County,"17,061"
21217,KY,Taylor County,"24,512"
21219,KY,Todd County,"12,460"
21221,KY,Trigg County,"14,339"
21223,KY,Trimble County,"8,809"
21225,KY,Union County,"15,007"
21227,KY,Warren County,"113,792"
21229,KY,Washington County,"11,717"
21231,KY,Wayne County,"20,813"
21233,KY,Webster County,"13,621"
21235,KY,Whitley County,"35,637"
21237,KY,Wolfe County,"7,355"
21239,KY,Woodford County,"24,939"
22000,LA,Louisiana,"4,533,372"
22001,LA,Acadia Parish,"61,773"
22003,LA,Allen Parish,"25,764"
22005,LA,Ascension Parish,"107,215"
22007,LA,Assumption Parish,"23,421"
22009,LA,Avoyelles Parish,"42,073"
22011,LA,Beauregard Parish,"35,654"
22013,LA,Bienville Parish,"14,353"
22015,LA,Bossier Parish,"116,979"
22017,LA,Caddo Parish,"254,969"
22019,LA,Calcasieu Parish,"192,768"
22021,LA,Caldwell Parish,"10,132"
22023,LA,Cameron Parish,"6,839"
22025,LA,Catahoula Parish,"10,407"
22027,LA,Claiborne Parish,"17,195"
22029,LA,Concordia Parish,"20,822"
22031,LA,De Soto Parish,"26,656"
22033,LA,East Baton Rouge Parish,"440,171"
22035,LA,East Carroll Parish,"7,759"
22037,LA,East Feliciana Parish,"20,267"
22039,LA,Evangeline Parish,"33,984"
22041,LA,Franklin Parish,"20,767"
22043,LA,Grant Parish,"22,309"
22045,LA,Iberia Parish,"73,240"
22047,LA,Iberville Parish,"33,387"
22049,LA,Jackson Parish,"16,274"
22051,LA,Jefferson Parish,"432,552"
22053,LA,Jefferson Davis Parish,"31,594"
22055,LA,Lafayette Parish,"221,578"
22057,LA,Lafourche Parish,"96,318"
22059,LA,LaSalle Parish,"14,890"
22061,LA,Lincoln Parish,"46,735"
22063,LA,Livingston Parish,"128,026"
22065,LA,Madison Parish,"12,093"
22067,LA,Morehouse Parish,"27,979"
22069,LA,Natchitoches Parish,"39,566"
22071,LA,Orleans Parish,"343,829"
22073,LA,Ouachita Parish,"153,720"
22075,LA,Plaquemines Parish,"23,042"
22077,LA,Pointe Coupee Parish,"22,802"
22079,LA,Rapides Parish,"131,613"
22081,LA,Red River Parish,"9,091"
22083,LA,Richland Parish,"20,725"
22085,LA,Sabine Parish,"24,233"
22087,LA,St. Bernard Parish,"35,897"
22089,LA,St. Charles Parish,"52,780"
22091,LA,St. Helena Parish,"11,203"
22093,LA,St. James Parish,"22,102"
22095,LA,St. John the Baptist Parish,"45,924"
22097,LA,St. Landry Parish,"83,384"
22099,LA,St. Martin Parish,"52,160"
22101,LA,St. Mary Parish,"54,650"
22103,LA,St. Tammany Parish,"233,740"
22105,LA,Tangipahoa Parish,"121,097"
22107,LA,Tensas Parish,"5,252"
22109,LA,Terrebonne Parish,"111,860"
22111,LA,Union Parish,"22,721"
22113,LA,Vermilion Parish,"57,999"
22115,LA,Vernon Parish,"52,334"
22117,LA,Washington Parish,"47,168"
22119,LA,Webster Parish,"41,207"
22121,LA,West Baton Rouge Parish,"23,788"
22123,LA,West Carroll Parish,"11,604"
22125,LA,West Feliciana Parish,"15,625"
22127,LA,Winn Parish,"15,313"
23000,ME,Maine,"1,328,361"
23001,ME,Androscoggin County,"107,702"
23003,ME,Aroostook County,"71,870"
23005,ME,Cumberland County,"281,674"
23007,ME,Franklin County,"30,768"
23009,ME,Hancock County,"54,418"
23011,ME,Kennebec County,"122,151"
23013,ME,Knox County,"39,736"
23015,ME,Lincoln County,"34,457"
23017,ME,Oxford County,"57,833"
23019,ME,Penobscot County,"153,923"
23021,ME,Piscataquis County,"17,535"
23023,ME,Sagadahoc County,"35,293"
23025,ME,Somerset County,"52,228"
23027,ME,Waldo County,"38,786"
23029,ME,Washington County,"32,856"
23031,ME,York County,"197,131"
24000,MD,Maryland,"5,773,552"
24001,MD,Allegany County,"75,087"
24003,MD,Anne Arundel County,"537,656"
24005,MD,Baltimore County,"805,029"
24009,MD,Calvert County,"88,737"
24011,MD,Caroline County,"33,066"
24013,MD,Carroll County,"167,134"
24015,MD,Cecil County,"101,108"
24017,MD,Charles County,"146,551"
24019,MD,Dorchester County,"32,618"
24021,MD,Frederick County,"233,385"
24023,MD,Garrett County,"30,097"
24025,MD,Harford County,"244,826"
24027,MD,Howard County,"287,085"
24029,MD,Kent County,"20,197"
24031,MD,Montgomery County,"971,777"
24033,MD,Prince George's County,"863,420"
24035,MD,Queen Anne's County,"47,798"
24037,MD,St. Mary's County,"105,151"
24039,MD,Somerset County,"26,470"
24041,MD,Talbot County,"37,782"
24043,MD,Washington County,"147,430"
24045,MD,Wicomico County,"98,733"
24047,MD,Worcester County,"51,454"
24510,MD,Baltimore city,"620,961"
25000,MA,Massachusetts,"6,547,629"
25001,MA,Barnstable County,"215,888"
25003,MA,Berkshire County,"131,219"
25005,MA,Bristol County,"548,285"
25007,MA,Dukes County,"16,535"
25009,MA,Essex County,"743,159"
25011,MA,Franklin County,"71,372"
25013,MA,Hampden County,"463,490"
25015,MA,Hampshire County,"158,080"
25017,MA,Middlesex County,"1,503,085"
25019,MA,Nantucket County,"10,172"
25021,MA,Norfolk County,"670,850"
25023,MA,Plymouth County,"494,919"
25025,MA,Suffolk County,"722,023"
25027,MA,Worcester County,"798,552"
26000,MI,Michigan,"9,883,640"
26001,MI,Alcona County,"10,942"
26003,MI,Alger County,"9,601"
26005,MI,Allegan County,"111,408"
26007,MI,Alpena County,"29,598"
26009,MI,Antrim County,"23,580"
26011,MI,Arenac County,"15,899"
26013,MI,Baraga County,"8,860"
26015,MI,Barry County,"59,173"
26017,MI,Bay County,"107,771"
26019,MI,Benzie County,"17,525"
26021,MI,Berrien County,"156,813"
26023,MI,Branch County,"45,248"
26025,MI,Calhoun County,"136,146"
26027,MI,Cass County,"52,293"
26029,MI,Charlevoix County,"25,949"
26031,MI,Cheboygan County,"26,152"
26033,MI,Chippewa County,"38,520"
26035,MI,Clare County,"30,926"
26037,MI,Clinton County,"75,382"
26039,MI,Crawford County,"14,074"
26041,MI,Delta County,"37,069"
26043,MI,Dickinson County,"26,168"
26045,MI,Eaton County,"107,759"
26047,MI,Emmet County,"32,694"
26049,MI,Genesee County,"425,790"
26051,MI,Gladwin County,"25,692"
26053,MI,Gogebic County,"16,427"
26055,MI,Grand Traverse County,"86,986"
26057,MI,Gratiot County,"42,476"
26059,MI,Hillsdale County,"46,688"
26061,MI,Houghton County,"36,628"
26063,MI,Huron County,"33,118"
26065,MI,Ingham County,"280,895"
26067,MI,Ionia County,"63,905"
26069,MI,Iosco County,"25,887"
26071,MI,Iron County,"11,817"
26073,MI,Isabella County,"70,311"
26075,MI,Jackson County,"160,248"
26077,MI,Kalamazoo County,"250,331"
26079,MI,Kalkaska County,"17,153"
26081,MI,Kent County,"602,622"
26083,MI,Keweenaw County,"2,156"
26085,MI,Lake County,"11,539"
26087,MI,Lapeer County,"88,319"
26089,MI,Leelanau County,"21,708"
26091,MI,Lenawee County,"99,892"
26093,MI,Livingston County,"180,967"
26095,MI,Luce County,"6,631"
26097,MI,Mackinac County,"11,113"
26099,MI,Macomb County,"840,978"
26101,MI,Manistee County,"24,733"
26103,MI,Marquette County,"67,077"
26105,MI,Mason County,"28,705"
26107,MI,Mecosta County,"42,798"
26109,MI,Menominee County,"24,029"
26111,MI,Midland County,"83,629"
26113,MI,Missaukee County,"14,849"
26115,MI,Monroe County,"152,021"
26117,MI,Montcalm County,"63,342"
26119,MI,Montmorency County,"9,765"
26121,MI,Muskegon County,"172,188"
26123,MI,Newaygo County,"48,460"
26125,MI,Oakland County,"1,202,362"
26127,MI,Oceana County,"26,570"
26129,MI,Ogemaw County,"21,699"
26131,MI,Ontonagon County,"6,780"
26133,MI,Osceola County,"23,528"
26135,MI,Oscoda County,"8,640"
26137,MI,Otsego County,"24,164"
26139,MI,Ottawa County,"263,801"
26141,MI,Presque Isle County,"13,376"
26143,MI,Roscommon County,"24,449"
26145,MI,Saginaw County,"200,169"
26147,MI,St. Clair County,"163,040"
26149,MI,St. Joseph County,"61,295"
26151,MI,Sanilac County,"43,114"
26153,MI,Schoolcraft County,"8,485"
26155,MI,Shiawassee County,"70,648"
26157,MI,Tuscola County,"55,729"
26159,MI,Van Buren County,"76,258"
26161,MI,Washtenaw County,"344,791"
26163,MI,Wayne County,"1,820,584"
26165,MI,Wexford County,"32,735"
27000,MN,Minnesota,"5,303,925"
27001,MN,Aitkin County,"16,202"
27003,MN,Anoka County,"330,844"
27005,MN,Becker County,"32,504"
27007,MN,Beltrami County,"44,442"
27009,MN,Benton County,"38,451"
27011,MN,Big Stone County,"5,269"
27013,MN,Blue Earth County,"64,013"
27015,MN,Brown County,"25,893"
27017,MN,Carlton County,"35,386"
27019,MN,Carver County,"91,042"
27021,MN,Cass County,"28,567"
27023,MN,Chippewa County,"12,441"
27025,MN,Chisago County,"53,887"
27027,MN,Clay County,"58,999"
27029,MN,Clearwater County,"8,695"
27031,MN,Cook County,"5,176"
27033,MN,Cottonwood County,"11,687"
27035,MN,Crow Wing County,"62,500"
27037,MN,Dakota County,"398,552"
27039,MN,Dodge County,"20,087"
27041,MN,Douglas County,"36,009"
27043,MN,Faribault County,"14,553"
27045,MN,Fillmore County,"20,866"
27047,MN,Freeborn County,"31,255"
27049,MN,Goodhue County,"46,183"
27051,MN,Grant County,"6,018"
27053,MN,Hennepin County,"1,152,425"
27055,MN,Houston County,"19,027"
27057,MN,Hubbard County,"20,428"
27059,MN,Isanti County,"37,816"
27061,MN,Itasca County,"45,058"
27063,MN,Jackson County,"10,266"
27065,MN,Kanabec County,"16,239"
27067,MN,Kandiyohi County,"42,239"
27069,MN,Kittson County,"4,552"
27071,MN,Koochiching County,"13,311"
27073,MN,Lac qui Parle County,"7,259"
27075,MN,Lake County,"10,866"
27077,MN,Lake of the Woods County,"4,045"
27079,MN,Le Sueur County,"27,703"
27081,MN,Lincoln County,"5,896"
27083,MN,Lyon County,"25,857"
27085,MN,McLeod County,"36,651"
27087,MN,Mahnomen County,"5,413"
27089,MN,Marshall County,"9,439"
27091,MN,Martin County,"20,840"
27093,MN,Meeker County,"23,300"
27095,MN,Mille Lacs County,"26,097"
27097,MN,Morrison County,"33,198"
27099,MN,Mower County,"39,163"
27101,MN,Murray County,"8,725"
27103,MN,Nicollet County,"32,727"
27105,MN,Nobles County,"21,378"
27107,MN,Norman County,"6,852"
27109,MN,Olmsted County,"144,248"
27111,MN,Otter Tail County,"57,303"
27113,MN,Pennington County,"13,930"
27115,MN,Pine County,"29,750"
27117,MN,Pipestone County,"9,596"
27119,MN,Polk County,"31,600"
27121,MN,Pope County,"10,995"
27123,MN,Ramsey County,"508,640"
27125,MN,Red Lake County,"4,089"
27127,MN,Redwood County,"16,059"
27129,MN,Renville County,"15,730"
27131,MN,Rice County,"64,142"
27133,MN,Rock County,"9,687"
27135,MN,Roseau County,"15,629"
27137,MN,St. Louis County,"200,226"
27139,MN,Scott County,"129,928"
27141,MN,Sherburne County,"88,499"
27143,MN,Sibley County,"15,226"
27145,MN,Stearns County,"150,642"
27147,MN,Steele County,"36,576"
27149,MN,Stevens County,"9,726"
27151,MN,Swift County,"9,783"
27153,MN,Todd County,"24,895"
27155,MN,Traverse County,"3,558"
27157,MN,Wabasha County,"21,676"
27159,MN,Wadena County,"13,843"
27161,MN,Waseca County,"19,136"
27163,MN,Washington County,"238,136"
27165,MN,Watonwan County,"11,211"
27167,MN,Wilkin County,"6,576"
27169,MN,Winona County,"51,461"
27171,MN,Wright County,"124,700"
27173,MN,Yellow Medicine County,"10,438"
28000,MS,Mississippi,"2,967,297"
28001,MS,Adams County,"32,297"
28003,MS,Alcorn County,"37,057"
28005,MS,Amite County,"13,131"
28007,MS,Attala County,"19,564"
28009,MS,Benton County,"8,729"
28011,MS,Bolivar County,"34,145"
28013,MS,Calhoun County,"14,962"
28015,MS,Carroll County,"10,597"
28017,MS,Chickasaw County,"17,392"
28019,MS,Choctaw County,"8,547"
28021,MS,Claiborne County,"9,604"
28023,MS,Clarke County,"16,732"
28025,MS,Clay County,"20,634"
28027,MS,Coahoma County,"26,151"
28029,MS,Copiah County,"29,449"
28031,MS,Covington County,"19,568"
28033,MS,DeSoto County,"161,252"
28035,MS,Forrest County,"74,934"
28037,MS,Franklin County,"8,118"
28039,MS,George County,"22,578"
28041,MS,Greene County,"14,400"
28043,MS,Grenada County,"21,906"
28045,MS,Hancock County,"43,929"
28047,MS,Harrison County,"187,105"
28049,MS,Hinds County,"245,285"
28051,MS,Holmes County,"19,198"
28053,MS,Humphreys County,"9,375"
28055,MS,Issaquena County,"1,406"
28057,MS,Itawamba County,"23,401"
28059,MS,Jackson County,"139,668"
28061,MS,Jasper County,"17,062"
28063,MS,Jefferson County,"7,726"
28065,MS,Jefferson Davis County,"12,487"
28067,MS,Jones County,"67,761"
28069,MS,Kemper County,"10,456"
28071,MS,Lafayette County,"47,351"
28073,MS,Lamar County,"55,658"
28075,MS,Lauderdale County,"80,261"
28077,MS,Lawrence County,"12,929"
28079,MS,Leake County,"23,805"
28081,MS,Lee County,"82,910"
28083,MS,Leflore County,"32,317"
28085,MS,Lincoln County,"34,869"
28087,MS,Lowndes County,"59,779"
28089,MS,Madison County,"95,203"
28091,MS,Marion County,"27,088"
28093,MS,Marshall County,"37,144"
28095,MS,Monroe County,"36,989"
28097,MS,Montgomery County,"10,925"
28099,MS,Neshoba County,"29,676"
28101,MS,Newton County,"21,720"
28103,MS,Noxubee County,"11,545"
28105,MS,Oktibbeha County,"47,671"
28107,MS,Panola County,"34,707"
28109,MS,Pearl River County,"55,834"
28111,MS,Perry County,"12,250"
28113,MS,Pike County,"40,404"
28115,MS,Pontotoc County,"29,957"
28117,MS,Prentiss County,"25,276"
28119,MS,Quitman County,"8,223"
28121,MS,Rankin County,"141,617"
28123,MS,Scott County,"28,264"
28125,MS,Sharkey County,"4,916"
28127,MS,Simpson County,"27,503"
28129,MS,Smith County,"16,491"
28131,MS,Stone County,"17,786"
28133,MS,Sunflower County,"29,450"
28135,MS,Tallahatchie County,"15,378"
28137,MS,Tate County,"28,886"
28139,MS,Tippah County,"22,232"
28141,MS,Tishomingo County,"19,593"
28143,MS,Tunica County,"10,778"
28145,MS,Union County,"27,134"
28147,MS,Walthall County,"15,443"
28149,MS,Warren County,"48,773"
28151,MS,Washington County,"51,137"
28153,MS,Wayne County,"20,747"
28155,MS,Webster County,"10,253"
28157,MS,Wilkinson County,"9,878"
28159,MS,Winston County,"19,198"
28161,MS,Yalobusha County,"12,678"
28163,MS,Yazoo County,"28,065"
29000,MO,Missouri,"5,988,927"
29001,MO,Adair County,"25,607"
29003,MO,Andrew County,"17,291"
